gene,rna_lfc,rna_p,prot_lfc,prot_p,gwas_p,concordant,gwas_p_floored,transcriptomic,proteomic,genomic,score
APOE,1.17,0.125,0.146638078,2.56e-06,0.0,True,2e-308,1.17,0.146638078,307.69897000433605,103.005202694112
APOC1,-1.04,0.12,-0.093455501,0.155876277,2e-308,True,2e-308,1.04,0.093455501,307.69897000433605,102.944141835112
TOMM40,0.0627,0.903,-0.049315371,0.000771502,1e-295,False,1e-295,0.0627,0.049315371,295.0,98.37067179033333
BCAM,-1.56,0.0223,-0.029489212,0.116369834,6.9999999999999995e-192,True,6.9999999999999995e-192,1.56,0.029489212,191.15490195998575,64.24813039066191
ALDH1A2,-0.2,0.838,-0.111728905,4.45e-06,3.9999999999999997e-84,True,3.9999999999999997e-84,0.2,0.111728905,83.39794000867204,27.90322297122401
CLPTM1,-0.145,0.849,-0.04292671,9.1e-06,4e-64,True,4e-64,0.145,0.04292671,63.39794000867204,21.19528890622401
CLU,-0.918,0.0292,0.139483174,2.84e-10,1e-47,False,1e-47,0.918,0.139483174,47.0,16.019161057999998
FARP2,-1.82,0.0036,0.035717693,0.016924012,1.9999999999999998e-42,False,1.9999999999999998e-42,1.82,0.035717693,41.69897000433602,14.51822923244534
SAMHD1,-3.65,0.000137,0.054332233,0.004120522,2e-36,False,2e-36,3.65,0.054332233,35.69897000433602,13.134434079112005
ABCA7,-0.131,0.857,-0.036024362,0.310883263,8.000000000000001e-39,True,8.000000000000001e-39,0.131,0.036024362,38.096910013008056,12.754644791669351
SMARCA4,1.42,0.00095,-0.000923213,0.889291058,2e-35,False,2e-35,1.42,0.000923213,34.69897000433602,12.039964405778672
SAR1B,-2.92,0.00064,0.003606377,1.0,1e-33,False,1e-33,2.92,0.003606377,33.0,11.974535459
SPEN,-2.41,0.000193,0.029053365,0.144651536,1.9999999999999998e-30,False,1.9999999999999998e-30,2.41,0.029053365,29.69897000433602,10.712674456445338
SHANK2,0.828,0.0169,-0.075050149,2.09e-10,9.999999999999999e-31,False,9.999999999999999e-31,0.828,0.075050149,30.0,10.301016716333333
NUP85,0.799,0.0325,0.014153361,0.702445849,1.9999999999999998e-25,True,1.9999999999999998e-25,0.799,0.014153361,24.69897000433602,8.504041121778672
MIB1,-2.14,4.43e-06,-0.001734953,1.0,9e-24,True,9e-24,2.14,0.001734953,23.045757490560675,8.395830814520224
